itemType,itemCode,qty,warehouseCode,binId,notes
Spare,B005700770013,2,MAIN,A1,
Spare,B677701,9,MAIN,A1,
Spare,B407701,36,MAIN,A1,
Spare,15400154,18,MAIN,A1,
Spare,B005700770014,4,MAIN,A1,
Spare,B677702,9,MAIN,A1,
Spare,B407702,45,MAIN,A1,
Spare,B407703,54,MAIN,A1,
Spare,15400155,3,MAIN,A1,
Spare,15400156,24,MAIN,A1,
Spare,B920001,12,MAIN,A1,
Spare,B920002,15,MAIN,A1,
Spare,B920003,8,MAIN,A1,
Spare,B811201,21,MAIN,A1,
Spare,B811202,21,MAIN,A1,
Spare,B733401,30,MAIN,A1,
Spare,B733402,12,MAIN,A1,
Spare,B650101,6,MAIN,A1,
Spare,B650102,18,MAIN,A1,
Spare,B650103,24,MAIN,A1,
Spare,B540201,1,MAIN,A1,
Spare,B540202,6,MAIN,A1,
Spare,B430101,60,MAIN,A1,
Spare,B430102,60,MAIN,A1,
Spare,B221001,1,MAIN,A1,
Spare,B221002,9,MAIN,A1,
Product,EG-15,2,MAIN,,
Product,EG-22,2,MAIN,,
Product,EG-37,2,MAIN,,
Product,EG-55,2,MAIN,,
