invoiceNo,invoiceDate,dueDate,customerName,gstin,amount,amountReceived,businessStream,notes
PIE/2627/1000,2026-04-22,2026-05-22,Topworth Urja and Metals Ltd,27AABCT4521M1ZR,400000,0,Compressor Sales,
PIE/2627/1001,2026-05-14,2026-06-28,Bharat Forge Ltd,27AAACB2222C1ZX,285000,85000,Spare Sales,
PIE/2627/1002,2026-06-05,2026-07-05,Kalyani Steels Ltd,27AAACK1234F1ZP,152000,0,Spare Sales,
PIE/2627/1003,2026-06-27,2026-07-27,Sandvik Asia Pvt Ltd,27AAACS9999D1ZQ,318000,0,Compressor Sales,
PIE/2627/1004,2026-07-03,2026-08-17,Thermax Limited,27AAACT3518Q1ZB,96000,0,Spare Sales,
PIE/2627/1005,2026-07-19,2026-08-18,Ceat Ltd Nagpur,27AAACC1234R1ZK,210000,60000,Spare Sales,
PIE/2627/1006,2026-07-27,2026-09-10,Ultratech Cement Ltd,27AAACL6442L1ZM,128000,0,Compressor Sales,
PIE/2627/1007,2026-08-07,2026-09-06,Indorama Synthetics,27AAACI5678J1ZT,175000,0,Spare Sales,
PIE/2627/1008,2026-08-18,2026-09-17,Ashok Iron Works,27AAAFA7788K1ZV,240000,0,Spare Sales,
PIE/2627/1009,2026-08-24,2026-09-23,Vikram Auto Components,27AACCV3344B1ZG,88000,0,Compressor Sales,
PIE/2627/1010,2026-08-28,2026-10-12,Solar Industries India Ltd,27AAACS4455N1ZD,310000,120000,Spare Sales,
PIE/2627/1011,2026-09-03,2026-10-03,Topworth Urja and Metals Ltd,27AABCT4521M1ZR,145000,0,Spare Sales,
PIE/2627/1012,2026-09-05,2026-10-20,Bharat Forge Ltd,27AAACB2222C1ZX,262000,0,Compressor Sales,
PIE/2627/1013,2026-09-07,2026-10-07,Kalyani Steels Ltd,27AAACK1234F1ZP,97000,0,Spare Sales,
