partNo,hsnCode,description,productGroup,category,uom,gstPct,piePrice,elgiPrice,reorderLevel,safetyStock,defaultBinId,notes
00021002B,84149019,CYL NO1 DIA70 M/C SP,RCD Spares,RCD Spares,Nos,18,7397,7915,,,,
00021003A,84149019,CYL HEAD DIA70 W/LAPPING SP,RCD Spares,RCD Spares,Nos,18,1524,1631,,,,
00021003B,84149019,HEAD DIA70 CYL-FV M/C SS02EXP,RCD Spares,RCD Spares,Nos,18,1980,2119,,,,
00021004C,84149019,CYL DIA50 M/C HP03/05,RCD Spares,RCD Spares,Nos,18,6789,7265,,,,
00021010A,84148090,CYL DIA100 D/V M/C SS15 TS12,RCD Spares,RCD Spares,Nos,18,5790,6196,,,,
00021010D,84149019,CYL DIA100 M/C SS07 EXPORT,RCD Spares,RCD Spares,Nos,18,5726,6127,,,,
00021011C,84149019,CYL DIA60 M/C HP07/10/20,RCD Spares,RCD Spares,Nos,18,5664,6061,,,,
00021028B,84149019,CYL2 DIA 70 WOH MC SS05LB/HP05,RCD Spares,RCD Spares,Nos,18,4390,4698,,,,
000211710/A,,REC AIR 45L LG01080 SPARE,RCD Spares,RCD Spares,Nos,18,9133,9773,,,,
00021238C,84149019,HEAD DIA100 CYL M/C SS07EXPORT,RCD Spares,RCD Spares,Nos,18,3322,3555,,,,
00021239A,84149019,HEAD DIA100 CYL M/C D/V SS15,RCD Spares,RCD Spares,Nos,18,3052,3266,,,,
00021368C,,BASE W/D HP20,RCD Spares,RCD Spares,Nos,18,21400,22898,,,,
00021486B,84149019,B/G BM WITH CLAMP TS10/12/15,RCD Spares,RCD Spares,Nos,18,7160,7662,,,,
00021993A,84149019,HEAD DIA 50 CYL M/C HP03/05,RCD Spares,RCD Spares,Nos,18,1896,2029,,,,
00031006A,84149019,I/C M/C TS03LB/TS03LB BP,RCD Spares,RCD Spares,Nos,18,1036,1109,,,,
00031009A,84149019,I/C M/C TS07 LB,RCD Spares,RCD Spares,Nos,18,2328,2491,,,,
00031043A,84149019,FLAT VALVE DIA60 CYL LG01/11,RCD Spares,RCD Spares,Nos,18,628,672,,,,
00031666A,84099112,RING SOC DIA127 PIS HV/SP SERI,RCD Spares,RCD Spares,Nos,18,533,571,,,,
000318170/A,,REC AIR 25L LG00070 SPARE,RCD Spares,RCD Spares,Nos,18,6655,7121,,,,
00031945A,84099911,RING SOC DIA220PIS HV30/40/EX4,RCD Spares,RCD Spares,Nos,18,897,960,,,,
00032102A,,BELT GUARD TS03 LB BP HP,RCD Spares,RCD Spares,Nos,18,2292,2453,,,,
00033082B,,SUCTION BEND & FLG HV20/25,RCD Spares,RCD Spares,Nos,18,6622,7086,,,,
00033082C,84149019,SUCTION BEND & FLG HV30/40,RCD Spares; EPSAC ROCD Spares,RCD Spares,Nos,18,8648,9254,,,,
00033653A,,CONNECTOR 3WAY TS10 ZYP,RCD Spares,RCD Spares,Nos,18,1859,1990,,,,
00034284A,84149019,BELT GUARD SS1.5 LB,RCD Spares,RCD Spares,Nos,18,1922,2057,,,,
00040012A,,PULY MOTOR M/C W/O KW BP02 100,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,1831,1960,,,,
